Date,Close,Predictions
2018-03-14,422.6,427.30197
2018-03-15,420.45,425.88278
2018-03-16,416.75,425.5145
2018-03-19,399.65,425.95682
2018-03-20,400.4,426.48795
2018-03-21,418.2,426.51895
2018-03-22,415.6,426.1541
2018-03-23,412.7,425.6388
2018-03-26,421.5,425.1362
2018-03-27,413.2,424.93018
2018-03-28,398.7,425.01996
2018-04-02,395.1,424.97833
2018-04-03,402.2,424.36014
2018-04-04,395.05,423.11053
2018-04-05,393.9,421.24298
2018-04-06,384.95,418.87518
2018-04-09,380.3,416.0281
2018-04-10,385.55,412.70987
2018-04-11,385.3,409.1598
2018-04-12,380.2,405.69025
2018-04-13,377.9,402.481
2018-04-16,376.65,399.60474
2018-04-17,382.05,397.0781
2018-04-18,384.25,395.02588
2018-04-19,395.35,393.59525
2018-04-20,402.0,393.0829
2018-04-23,402.85,393.7697
2018-04-24,406.25,395.70093
2018-04-25,419.85,398.73032
2018-04-26,409.2,402.81265
2018-04-27,408.75,407.50143
2018-04-30,409.55,412.2182
2018-05-02,408.45,416.46347
2018-05-03,404.4,419.87332
2018-05-04,396.75,422.18256
2018-05-07,398.25,423.15683
2018-05-08,401.15,422.81982
2018-05-09,402.45,421.47238
2018-05-10,412.1,419.55078
2018-05-11,386.6,417.6833
2018-05-14,383.15,415.80646
2018-05-15,381.95,413.66953
2018-05-16,375.35,411.11252
2018-05-17,367.6,408.02405
2018-05-18,361.35,404.3156
2018-05-21,360.0,399.96185
2018-05-22,361.85,395.10596
2018-05-23,356.8,390.08673
2018-05-24,371.9,385.1986
2018-05-25,376.95,381.0207
2018-05-28,375.15,378.11978
2018-05-29,379.15,376.7446
2018-05-30,375.8,376.91193
2018-05-31,373.6,378.3232
2018-06-01,383.7,380.48337
2018-06-04,372.3,383.10162
2018-06-05,364.3,385.6985
2018-06-06,379.75,387.69348
2018-06-07,379.95,389.03586
2018-06-08,377.55,389.88263
2018-06-11,388.8,390.37698
2018-06-12,380.65,390.86948
2018-06-13,375.65,391.4549
